id,date,NH4,BSK5,Suspended,O2,NO3,NO2,SO4,PO4,CL
2,14.08.2018,0.094,1.44,5.1,4.3,1.65,0.037,115.2,0.622,54.58
2,08.10.2018,0.201,2.8,0.4,8.57,1.28,0.056,110.08,0.696,56.02
3,12.01.2000,0.06,2.54,0,8.14,8.25,0.027,67,0.34,43
3,15.02.2000,0.12,2.15,8.4,6.02,9,0.04,59.5,0.078,38.6
3,13.03.2000,0.05,2.6,10,15.5,6.3,0.004,54,0.24,34
3,17.04.2000,0,1.6,0,15.07,3.75,0.002,73.6,0.071,39.9
3,10.05.2000,0,2.6,3.2,16.9,0.42,0.008,87.04,0.004,39.9
3,07.06.2000,0.061,3.3,6,8.2,6.6,0.045,67.8,0.184,39.9
3,04.07.2000,0.15,0.69,5.2,8.74,2.27,0.028,63.4,0.44,40
3,08.08.2000,0.002,0.68,6,9.87,2.23,0.01,41,0.57,31
3,27.08.2000,0.02,0.73,8.9,10.63,3.04,0.042,55,0.622,44
3,04.09.2000,0.113,1,7,14.5,3.32,0.039,49,0.63,45
3,07.09.2000,0.065,1,9,6.87,2.7,0.051,50,0.67,46
3,11.09.2000,0.01,0.78,6,8,2.9,0.06,50,0.59,45
3,14.09.2000,0.106,0.1,6,8.21,4,0.014,48,0.788,45
3,18.09.2000,0.08,0.6,6,8.2,3.6,0.03,52.5,0.66,39
3,28.09.2000,0.127,0.6,8,8.87,4.51,0.053,44,0.5,39
3,09.10.2000,0.074,0.39,2,10.06,3.64,0.004,56.3,0.537,40.4
3,01.11.2000,0.054,0.44,12.8,11.52,3.26,0.027,61.4,0.35,41.8
3,05.12.2000,0.096,0.78,0,12.84,5.75,0.059,66,0.33,46
3,10.01.2001,0.057,0.29,0,14.35,7.4,0.04,60.8,0.327,45.9
3,06.02.2001,0.135,4.47,0,18.27,9.4,0.018,66,0.22,50.1
3,11.03.2001,0.081,4.5,34.8,13.31,5,0.031,56.3,0,45.96
3,03.04.2001,0.043,2.84,31.2,14.56,9.5,0.026,58.2,0.018,40.4
3,03.05.2001,0.063,2.1,4,13.24,4.7,0.02,64.6,0.129,36.2
3,11.06.2001,0.43,1.29,27.6,18,1.73,0.038,50.6,0.09,37.5
3,09.07.2001,0,1.12,0,6.75,1,0.008,37.12,0.572,33.4
3,06.08.2001,0.116,2,1,10.54,2.03,0.014,44.8,0.566,36.2
3,03.09.2001,0.027,1.8,0,11.6,2.28,0.051,60.8,0.274,36.2
3,08.10.2001,0.03,0.9,0,9.27,3.27,0.009,34,0.445,37.6
3,05.11.2001,0.084,2.76,0,12.94,3.6,0.016,53.76,0.304,40.4
3,03.12.2001,0.068,1.82,2.8,15.43,6.5,0.013,67.8,0.088,41.7
3,09.01.2002,0.158,2.05,67,19.3,12.2,0.037,83.2,0.164,45.9
3,05.02.2002,0.153,4.6,26,24.54,8.3,0.054,42.88,0.208,38.9
3,13.03.2002,0,4.08,25,15.2,4.2,0.033,58.9,0.012,39
3,09.04.2002,0.114,4.36,12.8,17.2,4,0.018,86.4,0.004,44.5
3,14.05.2002,0.03,4.42,0,8.8,2.2,0.036,67.8,0.22,40.4
3,04.06.2002,0.014,1,12,9.87,3.08,0.09,109.4,0.532,47.3
3,10.07.2002,0.022,1.99,15.6,7.47,1.53,0.027,42.2,0.486,38.9
3,01.08.2002,0.148,2.77,18,9.47,2.81,0.02,48.6,0.514,37.6
3,02.09.2002,0,3.18,10.2,10.45,3.15,0.025,43.5,0.294,34.7
3,01.10.2002,0.12,1.21,1.8,10.72,2.3,0.02,51.2,0.32,38.9
3,04.11.2002,0.071,2.71,0,13.07,3.81,0.016,53.8,0.021,40.4
3,02.12.2002,0.01,1.48,10.5,14.96,3.05,0.005,89.6,0.201,38.9
3,13.01.2003,0.2,4.76,1.1,13.37,10.92,0.07,85,0.341,45.9
3,19.02.2003,0.3,2.34,4.5,13.87,10,0.013,69.2,0.491,45.2
3,12.03.2003,0.223,2.96,12.8,16.8,11.8,0.08,85.7,0.352,45.94
3,14.04.2003,0.014,2.01,29.6,19.87,6.84,0.039,58.9,0.468,22.26
3,12.05.2003,0.054,2.12,6.8,18.93,5.13,0.06,69.76,0.271,40.3
3,10.06.2003,0.02,2.3,10.8,10.94,2.1,0.018,61.4,0.08,29.04
3,02.07.2003,0.018,2.1,16.8,9.67,2.1,0.021,69.2,0.09,33.2
3,12.08.2003,0.014,1.31,37,9.33,2.62,0.11,67.8,0.259,34.6
3,12.09.2003,0.038,2,23.5,9.8,3.8,0.037,69.3,0.28,37.2
3,10.10.2003,0.043,0.74,6.8,13.96,4.81,0.016,78.08,0.317,35.9
3,13.11.2003,0.042,1.15,4.7,13.33,4.96,0.012,73.8,0.211,37.3
3,10.12.2003,0.043,1.7,1,15.07,3.8,0.028,84.48,0.35,42
3,13.01.2004,0.04,1.32,10.8,17.74,6.99,0.042,75.36,0.31,47.33
3,12.02.2004,0,2,18.7,15.86,1.4,0.018,85.78,0.31,43.5
3,11.03.2004,0,2.31,17.2,15.06,1.04,0.016,84.96,0.18,40.2
3,06.04.2004,0.057,4.18,30.8,12.97,3.92,0.028,78,0.004,43
3,06.05.2004,0.034,2.5,31,12.27,4.12,0.047,62.3,0.003,38.7
3,09.06.2004,0,1.04,25.6,11.77,4.13,0.071,99.9,0.33,46.79
3,07.07.2004,0,2.48,8,7.68,2.83,0.04,103.6,0.38,48.14
